rewardAC,¶ÜÊ×Ë®Æ½Æ«²î,¶ÜÖÐË®Æ½Æ«²î,¶ÜÎ²Ë®Æ½Æ«²î,¶ÜÊ×´¹Ö±Æ«²î,¶ÜÖÐ´¹Ö±Æ«²î,¶ÜÎ²´¹Ö±Æ«²î,time/s
77.1741,-7.46,-14.31,-38.52,-16.6,-17.41,-21.13,12.3045123
116.5335,4.45,25.19,1.53,17.76,18,18.16,12.1773465
211.295525,1.31,26.09,4.67,4.35,-17.03,-30.07,23.2640426
116.58955,4.45,25.1,1.52,17.34,18.62,16.22,12.1618247
645.26765,-10.97,-17.23,-21.05,12.11,17.34,20.53,41.1064092
640.641225,-11.05,-17.22,-20.98,11.78,17.29,20.65,41.2080728
116.49835,4.77,25.16,1.28,17.84,18,18.11,12.1382828
218.2476375,1.14,26.04,4.69,4.89,-16.97,-30.3,23.200924
52.8508875,4.43,-8.27,-52.66,-4.26,17.03,30.03,23.2066378
116.4428,4.9,25.16,1.19,17.31,18.01,18.45,12.1134097
116.54595,4.6,25.19,1.43,18.22,18,17.87,12.2732192
648.0354,-11.21,-17.22,-20.9,11.9,17.29,20.58,41.0472463
116.36855,4.46,25.17,1.47,17.74,18.01,18.18,12.1444213
119.61035,4.5,25.12,1.54,17.26,18.63,16.27,12.3319852
116.4923,4.46,25.19,1.52,17.83,18,18.12,12.196992
152.6393375,5.83,-8.41,-53.61,4.15,17.44,25.55,23.073954
174.963875,5.63,-8.31,-53.45,4.72,17.44,25.21,23.3876531
218.911425,6.84,-17.69,-32.66,6.93,17.85,24.51,17.6292752
-6.140625,15.93,18.52,17.45,-12.69,-18.1,-21.43,12.2975591
80.484775,-7.12,-14.32,-38.74,-16.35,-17.41,-21.29,12.3029044
648.55855,-10.87,-17.15,-20.93,11.96,17.26,20.51,41.079701
635.4813,-10.99,-17.21,-20.96,11.79,17.28,20.64,41.0949494
118.2496,12.4,18.57,19.69,-14.57,-18.07,-20.24,12.3467077
224.7523625,0.86,26.47,5.39,10.36,-16.23,-32.46,28.4898936
115.4869,10.76,19.55,17.09,18.08,18,17.95,12.0510392
116.7261,4.89,25.09,1.24,17.25,18.62,16.27,12.0651787
203.9865125,2.16,26.05,4.1,4.68,-17.01,-30.25,23.1766583
1.905175,13.79,18.43,18.43,-4,-16.81,-24.62,34.3748767
97.1874125,8.77,-6.76,-52.98,-1.79,16.74,28.04,28.6191659
215.175575,7.16,-17.69,-32.86,6.52,17.84,24.75,17.6762534
326.0863,0.26,26.4,5.63,9.25,-16.26,-31.82,28.7544522
81.2025125,8.71,-6.55,-52.65,-2.35,16.64,28.22,28.6979465
295.2029875,0.1,26.35,5.66,8.28,-16.36,-31.4,28.6866991
118.52095,10.79,19.55,17.07,18.05,18,17.97,12.4171727
297.2772875,0.09,26.46,5.82,9.64,-16.23,-32.02,28.6975823
116.33675,4.88,25.14,1.15,18.13,18,17.93,12.1640255
119.02235,5.85,25.01,0.33,17.34,18.02,18.45,12.2778314
-4.95425,15.01,18.54,18.04,-12.88,-18.12,-21.35,12.1681905
640.031025,-11.66,-17.31,-20.77,12.64,17.41,20.32,41.1975777
647.18805,-11.49,-17.32,-20.83,12.47,17.4,20.43,41.0487506
-10.51175,14.65,18.54,18.27,-18.13,-18.02,-17.98,12.322027
54.9707,-9.5,-14.32,-37.3,-16.83,-17.41,-21,12.3048014
80.1486625,8.74,-6.86,-53.2,-2.04,16.75,28.22,28.860465
115.50725,11.11,19.55,16.86,17.45,18.01,18.36,12.1270213
33.064075,-11.59,-11.16,-47.23,-15.34,-18.04,-19.69,12.3065339
640.213275,-11.2,-17.2,-20.82,12.02,17.28,20.51,41.0075143
-32.5267125,-24.99,-11.06,-38.92,8.96,18.18,23.8,12.2129187
295.06285,-0.43,26.36,5.98,9.64,-16.23,-32.02,28.634111
-9.213625,15.39,18.53,17.79,-10.73,-18.12,-22.66,12.6703462
116.46155,4.37,25.19,1.57,17.83,18,18.11,12.2041853
119.36815,4.37,25.22,1.63,18.13,18,17.93,12.3337599
205.4538,1.25,26.06,4.67,4.37,-17.06,-30.14,23.1368804
210.3578875,0.95,25.97,4.72,4.08,-17.07,-29.98,23.2302212
-10.1346,13.78,18.55,18.81,-17.35,-18.03,-18.48,12.3320324
115.81855,10.64,19.55,17.16,17.58,18.01,18.27,12.2912516
85.6920625,-2.4,-12.54,-38.89,-16.79,-17.18,-20.66,23.2816551
582.861625,-11.28,-17.23,-20.87,12.91,17.41,20.15,41.1613002
144.5090375,8.44,-6.57,-52.59,3.99,17.06,25.04,28.665967
51.961775,8.63,-6.56,-52.69,-4.38,16.5,29.25,28.5301211
-104.2292125,-14.24,-6.21,-37.78,12.81,17.4,20.21,41.1457906
640.8506,-10.92,-17.15,-20.91,11.83,17.24,20.56,41.1232402
14.77455,6.92,24.65,-0.96,-12.54,-18.26,-21.75,6.7111362
215.215,13.33,18.5,18.96,-17.08,-18.01,-18.61,17.8207611
645.53425,-11.04,-17.22,-20.99,11.78,17.29,20.65,41.052192
648.4845,-10.9,-17.19,-21.03,11.95,17.3,20.56,41.1544392
115.55525,10.31,19.56,17.37,17.63,18.01,18.24,12.1293788
644.668575,-10.82,-17.17,-21.05,11.82,17.27,20.6,41.0530594
641.999975,-10.8,-17.15,-20.98,11.91,17.26,20.54,41.119428
64.9019125,-8.45,-14.34,-37.96,-17.14,-17.41,-20.8,12.2595967
215.17295,7.08,-17.69,-32.81,6.59,17.84,24.71,17.6307757
-81.8492125,-19.41,-12.71,-28.91,9.56,-15.26,-33.64,28.7647245
14.73695,6.67,24.6,-0.84,-12.39,-18.26,-21.83,6.713198
158.989725,6.14,-3.69,-46.18,6.77,-15.09,-28.43,39.9595309
50.4627,-10.59,-11.18,-47.87,-17.02,-18.02,-18.63,12.2178081
35.6492,-11.66,-11.16,-47.19,-15.74,-18.04,-19.44,12.1756818
-2.256525,12.7,18.56,19.49,-16.46,-18.04,-19.04,12.4072172
59.471325,-8.4,-14.3,-37.92,-15.17,-17.43,-22.04,12.2234379
448.246925,7.57,-3.81,-47.24,10.41,17.14,21.25,39.5399918
3.1105875,14.73,18.54,18.22,-10.38,-18.14,-22.91,12.4763803
631.348,-11.28,-17.18,-20.75,11.93,17.24,20.51,41.0715267
115.55435,10.6,19.55,17.19,18.07,18,17.96,12.1779657
-12.95955,12.86,18.57,19.4,-15.01,-18.06,-19.96,12.3020315
116.7308875,6.18,-8.29,-53.75,2.26,17.34,26.55,23.1205899
